date,source,articles_count
2024-09-30,Global Times,88
2024-09-30,Morning Star,103
2024-09-30,The Daily News,85
2024-10-01,Global Times,114
2024-10-01,Morning Star,84
2024-10-01,The Daily News,115
2024-10-02,Global Times,99
2024-10-02,Morning Star,84
2024-10-02,The Daily News,87
2024-10-03,Global Times,84
2024-10-03,Morning Star,119
2024-10-03,The Daily News,80
2024-10-04,Global Times,74
2024-10-04,Morning Star,76
2024-10-04,The Daily News,95
2024-10-05,Global Times,90
2024-10-05,Morning Star,111
2024-10-05,The Daily News,78
2024-10-06,Global Times,78
2024-10-06,Morning Star,89
2024-10-06,The Daily News,91
